MF_m1,MF_m2,BL
0.886020138784182,0.113979861215818,19
0.0874401189284686,0.912559881071531,8
0.906343389464935,0.0936566105350652,17
0.000115866102995936,0.999884133897004,11
9.69850801231538e-05,0.999903014919877,12
0.000381581938356709,0.999618418061643,15
5.39522305280021e-05,0.999946047769472,12
0.000154999526104414,0.999845000473896,9
8.17518559298868e-05,0.99991824814407,10
3.1495613252082e-05,0.999968504386748,14
5.31049746058108e-06,0.999994689502539,17
8.64393620907143e-06,0.999991356063791,16
2.58934845906058e-05,0.999974106515409,13
7.31917906414792e-06,0.999992680820936,17
0.000314253030542661,0.999685746969457,8
0.000260075915442027,0.999739924084558,18
8.45584491078081e-05,0.999915441550892,11
9.25585071212893e-05,0.999907441492879,12
0.000361941738268045,0.999638058261732,8
0.000227389489821125,0.999772610510179,9
0.000356326160318511,0.999643673839681,9
0.000118586067689061,0.999881413932311,9
5.39522296861888e-05,0.999946047770314,12
0.0002528737796351,0.999747126220365,8
0.000576154599121629,0.999423845400878,16
